team, avg RP/Match, opr
frc360, 3.0833333333333335, 46.44653606614628
frc753, 2.75, 29.40138784324902
frc955, 3.0833333333333335, 36.712366772296775
frc997, 1.75, 25.490871854790143
frc1258, 3.0, 37.77417020375916
frc1318, 3.0833333333333335, 44.11505170541763
frc1425, 3.0833333333333335, 44.98675453040551
frc1510, 1.3333333333333333, 20.216773456797696
frc1540, 3.3333333333333335, 49.07868388008027
frc1595, 2.4166666666666665, 35.807432914149786
frc1778, 2.9166666666666665, 40.09044907000351
frc1983, 3.3333333333333335, 48.95061043075456
frc2046, 2.5, 40.96756803445575
frc2147, 2.3333333333333335, 36.836540394502194
frc2149, 2.0, 24.61925841389329
frc2374, 2.5833333333333335, 36.48646640368356
frc2471, 2.5833333333333335, 41.31086814019276
frc2522, 2.5, 35.21882113199552
frc2557, 2.8333333333333335, 47.61157119195117
frc2635, 1.5833333333333333, 26.786023669878908
frc2811, 1.5833333333333333, 27.608832468631434
frc2907, 2.5, 39.76919208017634
frc2910, 2.75, 33.615011229230696
frc2928, 2.1666666666666665, 31.513141451534242
frc2930, 2.4166666666666665, 31.900588078486084
frc2944, 2.25, 30.20882409017468
frc2980, 2.8333333333333335, 32.085287022342584
frc2990, 2.0, 32.92525215392975
frc3024, 2.5, 39.34406859581627
frc3219, 2.5, 28.266218130857094
frc3223, 2.4166666666666665, 26.251725174181466
frc3238, 2.75, 43.393016802078215
frc3393, 2.3333333333333335, 30.810495641837647
frc3574, 3.0, 37.24425377534336
frc3663, 1.8333333333333333, 43.585623390232556
frc3674, 2.1666666666666665, 37.520652388824615
frc3711, 1.9166666666666667, 28.01853023268741
frc3786, 1.75, 27.012030388079584
frc3787, 2.0833333333333335, 23.767138369409693
frc3826, 2.25, 35.748459957796
frc4057, 2.3333333333333335, 35.18662942862992
frc4061, 2.5833333333333335, 33.228200703799004
frc4077, 1.75, 20.756171817661468
frc4089, 3.0, 29.98492493988619
frc4125, 2.3333333333333335, 32.38201482334518
frc4131, 2.8333333333333335, 44.518438436217615
frc4132, 2.0, 25.2250111482968
frc4205, 1.8333333333333333, 25.155601430891167
frc4450, 3.1666666666666665, 40.96755139949261
frc4469, 3.0833333333333335, 38.995214960189536
frc4488, 3.0, 39.22785295083886
frc4911, 2.8333333333333335, 39.06904001982307
frc4915, 1.8333333333333333, 26.370212198399592
frc4980, 2.1666666666666665, 40.980259037896886
frc5085, 2.0833333333333335, 24.3447588361535
frc5450, 2.8333333333333335, 38.80815184414159
frc5468, 1.5833333333333333, 28.077366420981587
frc5495, 2.75, 37.952855148938845
frc5588, 2.3333333333333335, 27.953613789776224
frc5803, 3.4166666666666665, 44.21849797240428
frc5827, 1.9166666666666667, 27.14217617577847
frc5920, 2.3333333333333335, 34.63704528577206
frc5942, 2.3333333333333335, 43.90298030168271
frc5970, 2.0833333333333335, 35.91888339894949
