team, avg RP/Match, opr
frc4, 2.1666666666666665, 33.66882037338864
frc207, 2.75, 52.70957682508534
frc330, 2.9166666666666665, 60.04453028116253
frc580, 1.5833333333333333, 23.546546682539915
frc599, 1.5, 20.99043031136161
frc691, 1.25, 17.581149651400167
frc696, 2.6666666666666665, 40.72255980901527
frc702, 1.6666666666666667, 12.561247309666633
frc973, 2.9166666666666665, 50.98685503907238
frc980, 1.8333333333333333, 27.73302358220042
frc1160, 1.6666666666666667, 25.090279988143124
frc1266, 2.0, 29.128747283716447
frc1388, 2.0833333333333335, 37.89199668157183
frc1515, 1.6363636363636365, 23.264899766794805
frc1538, 2.3333333333333335, 49.22924848022094
frc1572, 1.75, 26.07328791692477
frc1868, 2.0, 28.424282963330842
frc2339, 0.8333333333333334, 20.912459880875836
frc2404, 1.0833333333333333, 13.628683343594332
frc2429, 1.0909090909090908, 10.885932608877708
frc2659, 1.5833333333333333, 25.318131965650533
frc3027, 1.3333333333333333, 14.018441116925178
frc3120, 1.0833333333333333, 11.803113157723846
frc3309, 2.8333333333333335, 62.89304401313453
frc3328, 2.0, 19.164158923865845
frc3512, 2.9166666666666665, 38.82554997766729
frc3863, 1.75, 27.999086461943765
frc3925, 1.5, 24.61020741087649
frc3993, 1.5, 14.40098736253229
frc4486, 2.4166666666666665, 30.75161883203281
frc4501, 1.8333333333333333, 26.586529696738477
frc4711, 1.9166666666666667, 28.916658339327423
frc4964, 1.5833333333333333, 17.638689615912945
frc5452, 1.4166666666666667, 14.10843817142456
frc5522, 1.3333333333333333, 18.61557825262758
frc5678, 1.1666666666666667, 13.249006427487732
frc5765, 1.6666666666666667, 15.335005157819243
frc5802, 2.75, 37.96192470039508
frc5818, 2.9166666666666665, 41.97882545555255
frc5839, 2.3333333333333335, 36.75687251561917
frc5849, 0.9166666666666666, 6.570291781595209
frc6060, 2.0833333333333335, 29.932436923071954
