team, avg RP/Match, opr
frc116, 2.1666666666666665, 33.87877333787583
frc122, 2.75, 36.51470933089438
frc339, 3.0833333333333335, 32.289293580036464
frc346, 2.3333333333333335, 38.74793293336009
frc384, 2.3333333333333335, 32.915099728534074
frc401, 2.9166666666666665, 37.01986956646562
frc422, 2.9166666666666665, 35.46223691103678
frc449, 2.25, 27.48736449959279
frc540, 2.6666666666666665, 28.744798168122358
frc612, 2.25, 26.6315457218391
frc623, 2.8333333333333335, 32.61708195392118
frc686, 2.25, 42.10222381666169
frc836, 2.8333333333333335, 34.25704929944367
frc888, 2.25, 28.02972545018087
frc977, 1.9166666666666667, 20.267631524681615
frc1086, 3.0, 38.8754881059274
frc1111, 2.0833333333333335, 29.763457446271453
frc1137, 2.75, 35.15078368953038
frc1262, 2.75, 35.4885420625122
frc1389, 1.9166666666666667, 25.35105685765847
frc1413, 2.5, 31.96108644935658
frc1418, 3.25, 41.90378762602971
frc1599, 2.25, 31.09930166079342
frc1610, 2.0, 35.886546190521344
frc1629, 2.0833333333333335, 34.79116800050348
frc1719, 1.6666666666666667, 23.683930715718933
frc1731, 2.5833333333333335, 40.49398121991911
frc1829, 2.0, 29.7719934009873
frc1885, 2.0833333333333335, 28.281514722670103
frc1895, 1.9166666666666667, 27.46994631799501
frc2028, 2.1666666666666665, 32.977304258707484
frc2068, 2.5, 31.587975257677535
frc2363, 2.0, 34.22425499440752
frc2377, 2.6666666666666665, 39.974223099573194
frc2421, 1.6666666666666667, 27.16735881079859
frc2534, 2.1666666666666665, 32.03903880360698
frc2537, 1.75, 26.829887469867018
frc2849, 1.9166666666666667, 31.208319877550938
frc2912, 2.0833333333333335, 26.365515939939428
frc3389, 3.0833333333333335, 36.038692235969634
frc3455, 2.0833333333333335, 35.02916827289455
frc3872, 2.5833333333333335, 33.56419800671847
frc3941, 2.5833333333333335, 26.84778296674542
frc4242, 2.8333333333333335, 31.627580650477128
frc4286, 2.5, 27.584049788434854
frc4456, 1.75, 31.508022050085003
frc4505, 2.75, 36.346932511442496
frc4638, 1.75, 29.7564212066405
frc4945, 2.4166666666666665, 28.95442736361607
frc5115, 2.4166666666666665, 31.58216188721905
frc5279, 2.6666666666666665, 40.39411511006389
frc5338, 1.9166666666666667, 30.8808217195024
frc5546, 2.5833333333333335, 35.03717122132916
frc5587, 1.1666666666666667, 17.314915218808046
frc5804, 2.5, 26.048377754023477
frc5841, 2.0833333333333335, 31.935312604084974
frc5957, 2.1666666666666665, 24.74591607044772
frc6194, 1.6666666666666667, 27.408801226992352
