team, avg RP/Match, opr
frc832, 1.3333333333333333, 20.26816936530317
frc1002, 1.9166666666666667, 25.91786307646045
frc1261, 2.9166666666666665, 43.89622158931556
frc1311, 2.0833333333333335, 26.765000978499472
frc1648, 2.0, 27.5506853274264
frc1746, 3.25, 49.479336699431364
frc1771, 2.0, 30.606436861177123
frc2415, 2.5833333333333335, 49.439346655143886
frc2974, 2.25, 37.26611388439005
frc3091, 2.0, 28.674602020439906
frc3329, 2.8333333333333335, 29.320823237351302
frc3581, 2.3333333333333335, 23.666824395097933
frc3600, 1.8333333333333333, 30.63107482830854
frc3635, 0.0, 0.0
frc4026, 2.5, 34.50731941191442
frc4080, 2.0833333333333335, 24.123151595660463
frc4112, 2.4166666666666665, 23.90919155564781
frc4188, 2.5, 43.749924169540066
frc4189, 2.25, 30.897002302163152
frc4193, 1.4166666666666667, 19.54876174962893
frc4240, 1.25, 23.085973040053
frc4468, 3.5, 44.09368768217963
frc4516, 2.1666666666666665, 22.293492411056395
frc4701, 1.0833333333333333, 23.608050024483898
frc4749, 1.8333333333333333, 29.189775261517326
frc4910, 2.3333333333333335, 32.97910845470602
frc4941, 2.0, 25.818395217896118
frc5004, 1.5, 24.180300256337233
frc5074, 1.4166666666666667, 20.38509198732529
frc5132, 2.5, 30.529931260069414
frc5332, 2.6666666666666665, 37.29758043801951
frc5482, 2.4166666666666665, 28.60576475224358
frc5536, 2.3333333333333335, 35.15393085445729
frc5582, 1.9166666666666667, 35.428918880722335
frc5594, 0.0, 0.0
frc5608, 2.25, 37.06081750768509
frc5632, 2.0833333333333335, 30.980517429162553
frc5651, 1.0, 11.27088557432756
frc5812, 2.0, 21.706321703242498
frc5828, 1.3333333333333333, 17.965182959711264
frc5840, 1.8333333333333333, 20.32558276862176
frc5848, 0.0, 0.0
frc5900, 2.0833333333333335, 28.14598636491156
frc6023, 0.0, 0.0
frc6177, 1.9166666666666667, 19.260188801704434
