team, avg RP/Match, opr
frc4, 2.1666666666666665, 33.66882037338864
frc207, 2.75, 52.70957682508534
frc294, 2.4166666666666665, 42.37015470846143
frc330, 2.9166666666666665, 60.04453028116253
frc399, 1.8333333333333333, 27.419220144197908
frc589, 1.75, 24.18709796001632
frc597, 1.5454545454545454, 24.158433808323426
frc599, 1.5, 20.99043031136161
frc606, 2.0, 17.771933051689256
frc687, 1.8181818181818181, 31.736891990007155
frc691, 1.25, 17.581149651400167
frc696, 2.6666666666666665, 40.72255980901527
frc702, 1.6666666666666667, 12.561247309666633
frc848, 1.25, 20.10182427919134
frc867, 1.25, 13.493420539875455
frc968, 2.25, 33.37507238755721
frc980, 1.8333333333333333, 27.73302358220042
frc981, 1.75, 27.129549415034283
frc987, 3.5, 66.89132420377196
frc1138, 2.1818181818181817, 26.799007885095566
frc1148, 2.25, 23.765196378532846
frc1160, 1.6666666666666667, 25.090279988143124
frc1197, 2.1666666666666665, 38.28583292331729
frc1452, 1.375, 27.625414199690532
frc1644, 1.25, 16.160704196084932
frc1661, 1.3636363636363635, 16.54093516495425
frc1759, 1.125, 4.641408393148506
frc1836, 2.5833333333333335, 46.46356439666083
frc2437, 1.8333333333333333, 25.382446251042644
frc2576, 2.25, 22.621171454946392
frc2637, 3.0, 49.37911140759258
frc3295, 1.4166666666666667, 4.32642995841851
frc3309, 2.8333333333333335, 62.89304401313453
frc3408, 1.25, 4.956437945260146
frc3476, 2.9166666666666665, 58.769147583329406
frc3512, 2.9166666666666665, 38.82554997766729
frc3759, 0.875, 3.748129340389179
frc3863, 1.75, 27.999086461943765
frc3952, 0.375, 5.920512648032924
frc4019, 0.75, 20.01123214510217
frc4141, 1.4545454545454546, 16.400941935304864
frc4201, 2.4166666666666665, 46.380992326353976
frc4276, 2.909090909090909, 38.30184144628675
frc4322, 2.3333333333333335, 32.5243055703258
frc4415, 2.272727272727273, 30.98781359863761
frc4619, 1.1666666666666667, 26.869325464772846
frc4763, 2.0, 30.016570260500462
frc4913, 1.875, 27.9589366338425
frc4964, 1.5833333333333333, 17.638689615912945
frc4999, 1.5, 27.090353851385046
frc5012, 2.8181818181818183, 35.82018674221979
frc5089, 1.875, 33.03567502954569
frc5102, 1.125, 9.271730252406506
frc5124, 2.5833333333333335, 43.75256361082439
frc5285, 1.5, 21.89092830397587
frc5510, 2.625, 28.077903735225625
frc5512, 1.25, 20.906155419535295
frc5540, 2.0, 19.422245486894408
frc5647, 0.75, 13.963736832264216
frc5669, 0.75, 4.650455196844942
frc5772, 0.75, 19.99511459774613
frc5802, 2.75, 37.96192470039508
frc5835, 1.375, 19.452476880701937
frc5851, 1.9090909090909092, 37.123925055140376
frc5966, 1.375, 10.99692967131792
frc6000, 2.125, 20.881065792611402
