team, avg RP/Match, opr
frc399, 1.8333333333333333, 27.419220144197908
frc701, 1.9166666666666667, 37.65106989354134
frc1566, 1.5, 12.745298295583135
frc1569, 2.5833333333333335, 43.25803474129167
frc1622, 1.0, 14.114260490089059
frc1891, 2.5, 29.123434389232138
frc2085, 1.5, 26.26605829844226
frc2122, 3.1666666666666665, 43.371671007949516
frc2594, 1.8333333333333333, 32.08249669683086
frc3145, 1.75, 21.55031503885607
frc3230, 2.9166666666666665, 40.22890572725207
frc3243, 1.6666666666666667, 17.23127730703802
frc3245, 2.0, 34.46097332933591
frc3250, 2.5, 56.741270368214494
frc3251, 1.5, 17.04740751334186
frc3513, 1.6666666666666667, 22.72625030645495
frc3562, 1.8333333333333333, 21.15332605590427
frc4009, 2.4166666666666665, 38.15858241306782
frc4125, 2.3333333333333335, 32.38201482334518
frc4175, 1.4166666666666667, 16.66029926596469
frc4206, 1.6666666666666667, 19.332893264710965
frc5430, 1.6666666666666667, 16.9232246777716
frc5461, 0.75, 12.854956775618424
frc5489, 2.3333333333333335, 34.452492845577474
frc5496, 1.5, 16.26991821388186
frc5499, 1.25, 19.122741715704414
frc5818, 2.9166666666666665, 41.97882545555255
frc5871, 2.1666666666666665, 27.859683400559
frc5931, 1.8333333333333333, 22.180414036662185
frc6210, 1.9166666666666667, 21.704291673257554
