team, avg RP/Match, opr
frc45, 3.111111111111111, 49.880664958987055
frc71, 3.2222222222222223, 44.21840981001435
frc135, 2.6666666666666665, 52.65110798492472
frc234, 2.875, 49.47648595515834
frc292, 2.6666666666666665, 35.761081804109
frc447, 2.2222222222222223, 42.88914080909096
frc461, 3.0, 51.5510775738758
frc829, 2.5555555555555554, 36.94517604028502
frc868, 3.5555555555555554, 48.99031137523707
frc1018, 2.3333333333333335, 31.543828945931264
frc1024, 2.7777777777777777, 56.26977872196511
frc1501, 3.6666666666666665, 66.28927920883004
frc1529, 2.7777777777777777, 37.19588905520791
frc1720, 2.4444444444444446, 37.716282723151345
frc1741, 2.2222222222222223, 31.93984654017069
frc1747, 3.111111111111111, 39.34087738828667
frc2171, 3.0, 32.59219984719858
frc2197, 3.0, 46.932398189275936
frc3147, 2.5555555555555554, 37.898199165060824
frc3176, 1.8888888888888888, 33.668488063382604
frc3180, 2.0, 23.10094100680985
frc3559, 2.25, 22.393921360438142
frc3936, 2.25, 31.951558613219323
frc3940, 3.111111111111111, 28.95316809834332
frc4103, 3.3333333333333335, 50.82861944430002
frc4580, 2.111111111111111, 36.29032393790282
frc4982, 2.888888888888889, 34.13278873379889
frc5403, 2.2222222222222223, 33.51436819428581
frc5484, 2.4444444444444446, 31.377781822582744
frc5944, 2.0, 24.339815352013137
frc6012, 1.8888888888888888, 28.79085215714204
